ID,,no of specimens in sample,date,year,season,site,plot,site_plot,site_plot_year,sampling,plant species,start time,end time,vegetation cover,floral cover,height of vegetation (cm),Achillea millefolium,Agastache foeniculum,Calendula officinalis,Leucanthemum vulgare,Leucanthemum maximum,Cichorium intybus,Coronilla varia,Cosmos bipinnatus,Daucus carota,Linum perenne,Lobularia maritima,Lotus corniculatus,Melilotus officinalis,Origanum vulgare,Papaver rhoeas,Salvia officinalis,Trifolium incarnatum,Trifolium pratense,Trifolium repens,Viola cornuta,Asclepias tuberosa,Baptisia australis,Bidens aristosa,Chamaecrista fasciculata,Chamaecrista nictitans,Eupatorium perfoliatum ,Helenium flexuosum,Lespedeza virginica,Liatris pilosa,Lupinus perennis,Monarda punctata,Penstemon laevigatus,Pycnanthemum tenuifolium,Rudbeckia hirta,Rudbeckia triloba,Sisyrinchium angustifolium ,Solidago odora,Solidago nemoralis,Symphyotrichum laeve,Tradescantia virginiana,Verbena hastata,no bee,small green metallic bee,lrg green bee,bumble bee,lrg carpenter bee,small dark bee,honey bee,Megachile,Anthidium,Species,Sex,only genus level,bee specialist,specialized on,parasitic,nesting,status,non-native bee,other species characteristics
11,,,9/21/2016,2016,late.season,A,native,A_N,A_N_2016,hand netting,Rudbeckia hirta,14:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Apis mellifera,,0,0,,0,hive,,1,
12,,,9/21/2016,2016,late.season,A,non-native,A_NN,A_NN_2016,hand netting,Cosmos bipinnatus,13:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Xylocopa virginica,,0,0,,0,wood,,0,
13,,,9/21/2016,2016,late.season,A,non-native,A_NN,A_NN_2016,hand netting,Cosmos bipinnatus,13:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Apis mellifera,,0,0,,0,hive,,1,
14,,,9/21/2016,2016,late.season,B,non-native,B_NN,B_NN_2016,hand netting,Cosmos bipinnatus,11:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Apis mellifera,,0,0,,0,hive,,1,
15,,,9/21/2016,2016,late.season,B,non-native,B_NN,B_NN_2016,hand netting,Cosmos bipinnatus,11:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Apis mellifera,,0,0,,0,hive,,1,
16,,,9/21/2016,2016,late.season,B,non-native,B_NN,B_NN_2016,hand netting,Cosmos bipinnatus,11:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Apis mellifera,,0,0,,0,hive,,1,
17,,,9/21/2016,2016,late.season,B,non-native,B_NN,B_NN_2016,hand netting,Cosmos bipinnatus,11:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Apis mellifera,,0,0,,0,hive,,1,
18,,,9/21/2016,2016,late.season,B,non-native,B_NN,B_NN_2016,hand netting,Cosmos bipinnatus,11:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Apis mellifera,,0,0,,0,hive,,1,
19,,,9/21/2016,2016,late.season,C,native,C_N,C_N_2016,hand netting,Monarda punctata,15:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Xylocopa virginica,,0,0,,0,wood,,0,
20,,,9/21/2016,2016,late.season,C,native,C_N,C_N_2016,hand netting,Monarda punctata,15:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Xylocopa virginica,,0,0,,0,wood,,0,
21,,,9/21/2016,2016,late.season,C,native,C_N,C_N_2016,hand netting,Monarda punctata,15:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Xylocopa virginica,,0,0,,0,wood,,0,
22,,,9/21/2016,2016,late.season,C,native,C_N,C_N_2016,hand netting,Monarda punctata,15:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Xylocopa virginica,,0,0,,0,wood,,0,
23,,,9/21/2016,2016,late.season,C,native,C_N,C_N_2016,hand netting,Monarda punctata,15:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Xylocopa virginica,,0,0,,0,wood,,0,
24,,,9/21/2016,2016,late.season,C,native,C_N,C_N_2016,hand netting,Monarda punctata,15:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Xylocopa virginica,,0,0,,0,wood,,0,
25,,,9/21/2016,2016,late.season,C,native,C_N,C_N_2016,hand netting,Monarda punctata,15:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Xylocopa virginica,,0,0,,0,wood,,0,
26,,,9/21/2016,2016,late.season,C,native,C_N,C_N_2016,hand netting,Monarda punctata,15:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Xylocopa virginica,,0,0,,0,wood,,0,
27,,,9/21/2016,2016,late.season,C,native,C_N,C_N_2016,hand netting,Monarda punctata,15:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Xylocopa virginica,,0,0,,0,wood,,0,
28,,,9/21/2016,2016,late.season,C,native,C_N,C_N_2016,hand netting,Monarda punctata,15:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Xylocopa virginica,,0,0,,0,wood,,0,
29,,,9/21/2016,2016,late.season,C,non-native,C_NN,C_NN_2016,hand netting,Cosmos bipinnatus,15:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Xylocopa virginica,,0,0,,0,wood,,0,
30,,,9/21/2016,2016,late.season,C,non-native,C_NN,C_NN_2016,hand netting,Cosmos bipinnatus,15:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Apis mellifera,,0,0,,0,hive,,1,
31,,,9/21/2016,2016,late.season,C,non-native,C_NN,C_NN_2016,hand netting,Cosmos bipinnatus,15:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Apis mellifera,,0,0,,0,hive,,1,
32,,,9/21/2016,2016,late.season,C,non-native,C_NN,C_NN_2016,hand netting,Cosmos bipinnatus,15:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Apis mellifera,,0,0,,0,hive,,1,
33,,,9/21/2016,2016,late.season,C,non-native,C_NN,C_NN_2016,hand netting,Cosmos bipinnatus,15:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Apis mellifera,,0,0,,0,hive,,1,
34,,,9/6/2016,2016,late.season,A,native,A_N,A_N_2016,hand netting,Rudbeckia triloba,10:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,small dark bee,NA,1,NA,,NA,NA,,NA,
35,,,9/21/2016,2016,late.season,A,native,A_N,A_N_2016,hand netting,Rudbeckia hirta,14:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,small dark bee,NA,1,NA,,NA,NA,,NA,
36,,,9/21/2016,2016,late.season,A,native,A_N,A_N_2016,hand netting,Rudbeckia hirta,14:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,small dark bee,NA,1,NA,,NA,NA,,NA,
37,,,9/21/2016,2016,late.season,A,non-native,A_NN,A_NN_2016,hand netting,Cosmos bipinnatus,13:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,small dark bee,NA,1,NA,,NA,NA,,NA,
38,,,9/21/2016,2016,late.season,B,native,B_N,B_N_2016,hand netting,Bidens aristosa,11:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,small dark bee,NA,1,NA,,NA,NA,,NA,
39,,,9/21/2016,2016,late.season,B,native,B_N,B_N_2016,hand netting,Bidens aristosa,11:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,small dark bee,NA,1,NA,,NA,NA,,NA,
40,,,9/21/2016,2016,late.season,B,native,B_N,B_N_2016,hand netting,Bidens aristosa,11:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,small dark bee,NA,1,NA,,NA,NA,,NA,
41,,,9/21/2016,2016,late.season,B,native,B_N,B_N_2016,hand netting,Bidens aristosa,11:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,small dark bee,NA,1,NA,,NA,NA,,NA,
42,,,9/21/2016,2016,late.season,B,non-native,B_NN,B_NN_2016,hand netting,Cosmos bipinnatus,11:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,small dark bee,NA,1,NA,,NA,NA,,NA,
43,,,9/21/2016,2016,late.season,B,non-native,B_NN,B_NN_2016,hand netting,Cosmos bipinnatus,11:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,small dark bee,NA,1,NA,,NA,NA,,NA,
44,,,9/21/2016,2016,late.season,B,non-native,B_NN,B_NN_2016,hand netting,Cosmos bipinnatus,11:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,small dark bee,NA,1,NA,,NA,NA,,NA,
45,,,9/21/2016,2016,late.season,C,native,C_N,C_N_2016,hand netting,Bidens aristosa,15:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,small dark bee,NA,1,NA,,NA,NA,,NA,
46,,,9/21/2016,2016,late.season,C,native,C_N,C_N_2016,hand netting,Helenium flexuosum,15:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,small dark bee,NA,1,NA,,NA,NA,,NA,
47,,,9/6/2016,2016,late.season,A,native,A_N,A_N_2016,hand netting,Chamaecrista fasciculata + Eupatorium perfoliatum,10:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,small green bee,NA,1,NA,,NA,NA,,NA,
48,,,9/21/2016,2016,late.season,B,native,B_N,B_N_2016,hand netting,Rudbeckia hirta,11:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,small green bee,NA,1,NA,,NA,NA,,NA,
49,,,4/18/2017,2017,early.season,C,non-native,C_NN,C_NN_2017,hand netting,Trifolium incarnatum,13:20,,NA,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,Xylocopa virginica,NA,0,0,,0,wood,,0,
50,,,6/13/2017,2017,early.season,C,native,C_N,C_N_2017,hand netting,Asclepias tuberosa,13:20,,60,15,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,,,,,,,,,,Xylocopa virginica,NA,0,0,,0,wood,,0,
51,,,7/18/2017,2017,late.season,B,non-native,B_NN,B_NN_2017,hand netting,Daucus carota,11:50,,80,45,160,0,1,0,0,0,1,1,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,Xylocopa virginica,NA,0,0,,0,wood,,0,
52,,,7/18/2017,2017,late.season,B,non-native,B_NN,B_NN_2017,hand netting,Daucus carota,11:50,,80,45,160,0,1,0,0,0,1,1,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,Xylocopa virginica,NA,0,0,,0,wood,,0,
53,,,7/18/2017,2017,late.season,C,non-native,C_NN,C_NN_2017,hand netting,Cichorium intybus,9:15,,70,30,140,0,0,0,0,0,1,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,Xylocopa virginica,NA,0,0,,0,wood,,0,
54,,,8/1/2017,2017,late.season,C,native,C_N,C_N_2017,hand netting,Helenium flexuosum,15:10,,90,60,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,,,,,,,,,,Xylocopa virginica,NA,0,0,,0,wood,,0,
55,,,8/24/2017,2017,late.season,A,native,A_N,A_N_2017,hand netting,Rudbeckia triloba,0.4375,,100,75,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,,,,,,,,,,Xylocopa virginica,NA,0,0,,0,wood,,0,
56,,,8/24/2017,2017,late.season,A,native,A_N,A_N_2017,hand netting,Monarda punctata,0.4375,,100,75,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,,,,,,,,,,Xylocopa virginica,NA,0,0,,0,wood,,0,
57,,,8/24/2017,2017,late.season,A,native,A_N,A_N_2017,hand netting,Eupatorium perfoliatum,0.4375,,100,75,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,,,,,,,,,,Xylocopa virginica,NA,0,0,,0,wood,,0,
58,,,8/31/2017,2017,late.season,A,native,A_N,A_N_2017,hand netting,Monarda punctata,0.694444444,,100,45,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,,,,,,,,,,Xylocopa virginica,NA,0,0,,0,wood,,0,
59,,,8/31/2017,2017,late.season,A,native,A_N,A_N_2017,hand netting,Monarda punctata,0.694444444,,100,45,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,,,,,,,,,,Xylocopa virginica,NA,0,0,,0,wood,,0,
60,,,8/31/2017,2017,late.season,B,native,B_N,B_N_2017,hand netting,Monarda punctata,0.579861111,,95,17.5,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,,,,,,,,,,Xylocopa virginica,NA,0,0,,0,wood,,0,
454325,,18,6/7/2016,2016,early.season,B,native,B_N,B_N_2016,pan traps,,9:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Augochlorella aurata,f,0,0,,0,ground,,0,eusocial
454326,,18,6/7/2016,2016,early.season,B,native,B_N,B_N_2016,pan traps,,9:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Halictus rubicundus,f,0,0,,0,ground,,0,eusocial
454327,,18,6/7/2016,2016,early.season,B,native,B_N,B_N_2016,pan traps,,9:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Osmia collinsiae,f,0,0,,0,wood,,0,
454329,,18,6/7/2016,2016,early.season,B,native,B_N,B_N_2016,pan traps,,9:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lasioglossum coriaceum,f,0,0,,0,ground,,0,solitary.communal
454330,,18,6/7/2016,2016,early.season,B,native,B_N,B_N_2016,pan traps,,9:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Osmia bucephala,f,0,0,,0,wood,,0,
454331,,18,6/7/2016,2016,early.season,B,native,B_N,B_N_2016,pan traps,,9:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lasioglossum coriaceum,f,0,0,,0,ground,,0,solitary.communal
454332,,18,6/7/2016,2016,early.season,B,native,B_N,B_N_2016,pan traps,,9:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Andrena perplexa,f,0,0,,0,ground,,0,
454333,,18,6/7/2016,2016,early.season,B,native,B_N,B_N_2016,pan traps,,9:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lasioglossum coriaceum,f,0,0,,0,ground,,0,solitary.communal
454334,,18,6/7/2016,2016,early.season,B,native,B_N,B_N_2016,pan traps,,9:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lasioglossum cressonii,f,0,0,,0,wood,,0,eusocial
454335,,18,6/7/2016,2016,early.season,B,native,B_N,B_N_2016,pan traps,,9:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Andrena nasonii,f,0,0,,0,ground,,0,
454336,,18,6/7/2016,2016,early.season,B,native,B_N,B_N_2016,pan traps,,9:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Andrena nasonii,f,0,0,,0,ground,,0,
454337,,18,6/7/2016,2016,early.season,B,native,B_N,B_N_2016,pan traps,,9:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,.,,,,,,,
454338,,18,6/7/2016,2016,early.season,B,native,B_N,B_N_2016,pan traps,,9:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Andrena nasonii,f,0,0,,0,ground,,0,
454339,,18,6/7/2016,2016,early.season,B,native,B_N,B_N_2016,pan traps,,9:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lasioglossum hitchensi,f,0,0,,0,ground,,0,
454340,,18,6/7/2016,2016,early.season,B,native,B_N,B_N_2016,pan traps,,9:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Augochlorella aurata,f,0,0,,0,ground,,0,eusocial
454342,,18,6/7/2016,2016,early.season,B,native,B_N,B_N_2016,pan traps,,9:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lasioglossum coriaceum,f,0,0,,0,ground,,0,solitary.communal
454343,,14,6/7/2016,2016,early.season,B,non-native,B_NN,B_NN_2016,pan traps,,9:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lasioglossum versatum,f,0,0,,0,ground,,0,eusocial
454344,,14,6/7/2016,2016,early.season,B,non-native,B_NN,B_NN_2016,pan traps,,9:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lasioglossum trigeminum,f,0,0,,0,ground,,0,
454345,,14,6/7/2016,2016,early.season,B,non-native,B_NN,B_NN_2016,pan traps,,9:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lasioglossum trigeminum,f,0,0,,0,ground,,0,
454346,,14,6/7/2016,2016,early.season,B,non-native,B_NN,B_NN_2016,pan traps,,9:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lasioglossum coriaceum,f,0,0,,0,ground,,0,solitary.communal
454347,,14,6/7/2016,2016,early.season,B,non-native,B_NN,B_NN_2016,pan traps,,9:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lasioglossum pilosum,f,0,0,,0,ground,,0,
454348,,14,6/7/2016,2016,early.season,B,non-native,B_NN,B_NN_2016,pan traps,,9:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eucera hamata,f,0,0,,0,ground,,0,
454349,,14,6/7/2016,2016,early.season,B,non-native,B_NN,B_NN_2016,pan traps,,9:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lasioglossum coriaceum,f,0,0,,0,ground,,0,solitary.communal
454350,,14,6/7/2016,2016,early.season,B,non-native,B_NN,B_NN_2016,pan traps,,9:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lasioglossum coriaceum,f,0,0,,0,ground,,0,solitary.communal
454351,,14,6/7/2016,2016,early.season,B,non-native,B_NN,B_NN_2016,pan traps,,9:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agapostemon virescens,f,0,0,,0,ground,,0,solitary. communal
454352,,14,6/7/2016,2016,early.season,B,non-native,B_NN,B_NN_2016,pan traps,,9:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lasioglossum pilosum,f,0,0,,0,ground,,0,
454353,,14,6/7/2016,2016,early.season,B,non-native,B_NN,B_NN_2016,pan traps,,9:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lasioglossum coriaceum,f,0,0,,0,ground,,0,solitary.communal
454354,,14,6/7/2016,2016,early.season,B,non-native,B_NN,B_NN_2016,pan traps,,9:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lasioglossum tegulare,f,0,0,,0,ground,,0,
454355,,14,6/7/2016,2016,early.season,B,non-native,B_NN,B_NN_2016,pan traps,,9:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Andrena perplexa,f,0,0,,0,ground,,0,
454357,,10,6/7/2016,2016,early.season,A,native,A_N,A_N_2016,pan traps,,10:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lasioglossum coriaceum,f,0,0,,0,ground,,0,solitary.communal
454358,,10,6/7/2016,2016,early.season,A,native,A_N,A_N_2016,pan traps,,10:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lasioglossum pilosum,f,0,0,,0,ground,,0,
454359,,10,6/7/2016,2016,early.season,A,native,A_N,A_N_2016,pan traps,,10:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agapostemon virescens,f,0,0,,0,ground,,0,solitary. communal
454360,,10,6/7/2016,2016,early.season,A,native,A_N,A_N_2016,pan traps,,10:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lasioglossum pilosum,f,0,0,,0,ground,,0,
